Model,Replicate,log-likelihood,AIC,chi-squared,theta,optimized_params
sec_contact_sym_mig_size,Round_4_Replicate_2,-202814.28,405642.56,502009.64,942254.86,"3.8797,1.3056,3.3523,0.6406,1.2012,0.1211,1.0253"
sec_contact_sym_mig_size,Round_4_Replicate_3,-209629.66,419273.32,486550.77,1082571.6,"1.7455,3.3678,3.6177,0.514,1.1247,0.0612,0.6501"
sec_contact_sym_mig_size,Round_3_Replicate_19,-216391.45,432796.9,544661.72,988723.99,"2.8483,2.4035,3.4287,0.5443,1.2853,0.1354,0.921"
sec_contact_sym_mig_size_three_epoch,Round_4_Replicate_36,-103394.72,206805.44,236420.41,250965.1,"0.039,0.0605,13.927,2.5539,0.534,0.5627,7.1207,0.2694"
sec_contact_sym_mig_size_three_epoch,Round_3_Replicate_24,-145796.5,291609,339443.72,246161.34,"0.0291,0.0547,13.767,2.4,0.34,0.9821,7.2686,0.101"
sec_contact_sym_mig_size_three_epoch,Round_4_Replicate_40,-146860.48,293736.96,348790.44,297281.16,"0.0167,0.0414,11.862,2.1383,0.4194,0.8873,5.4308,0.0876"
sec_contact_sym_mig_size_three_epoch,Round_4_Replicate_7,-151313.77,302643.54,333047.17,231911.03,"0.0298,0.0436,12.9547,2.9899,0.2811,0.5096,7.7614,0.0787"
sec_contact_sym_mig_size_three_epoch,Round_4_Replicate_6,-151706.08,303428.16,375166.85,178188.58,"0.0387,0.0339,19.5887,3.408,0.2747,0.6296,10.409,0.1369"
sec_contact_sym_mig_three_epoch,Round_4_Replicate_37,-92676.27,185364.54,195414.8,970935.44,"3.8443,0.7147,6.8829,0.5459,0.1669,0.1617"
sec_contact_sym_mig_three_epoch,Round_4_Replicate_34,-104635.52,209283.04,216914.11,1024648.17,"3.9208,0.7208,10.7224,0.4122,0.1582,0.1672"
sec_contact_sym_mig_three_epoch,Round_4_Replicate_38,-108760.47,217532.94,219347.18,861118.28,"3.8853,0.8718,7.8883,0.7552,0.1587,0.2081"
sec_contact_sym_mig_three_epoch,Round_4_Replicate_24,-118140.42,236292.84,257240.71,1018972.17,"3.8031,0.7268,3.6167,0.3735,0.215,0.1215"
sec_contact_sym_mig_three_epoch,Round_4_Replicate_20,-118597.9,237207.8,248297.04,921380.86,"4.1794,0.8256,4.6577,0.5059,0.19,0.1685"
sym_mig,Round_4_Replicate_35,-180576.94,361161.88,399756.3,418395.04,"7.1193,1.5967,0.4456,3.84"
sym_mig,Round_4_Replicate_13,-181743.27,363494.54,411830.44,343466.61,"8.8752,1.8572,0.379,4.9923"
sym_mig,Round_4_Replicate_2,-182010.9,364029.8,411549.86,307720.12,"9.8405,2.1064,0.3399,5.6618"
sym_mig,Round_3_Replicate_17,-182176.59,364361.18,413154.73,300491.78,"10.1127,2.153,0.3333,5.8157"
sym_mig,Round_4_Replicate_24,-182381.95,364771.9,412308.08,365458.16,"8.5304,1.8052,0.3943,4.4069"
sym_mig_size,Round_4_Replicate_27,-45427.15,90868.3,93350.7,1017336.16,"6.2836,3.9029,2.9782,0.4168,0.9434,0.4375,0.1415"
sym_mig_size,Round_4_Replicate_26,-54437.42,108888.84,111225.73,1099292.98,"11.6678,6.0092,2.648,0.4418,0.9282,0.3176,0.1723"
sym_mig_size,Round_4_Replicate_14,-54583.24,109180.48,107498.81,1053421.61,"4.134,2.9538,2.6995,0.4412,0.7654,0.4431,0.1233"
sym_mig_size,Round_4_Replicate_22,-72080.08,144174.16,147646.47,966615.93,"3.3996,3.4609,3.7178,0.6371,0.8771,0.4471,0.2619"
sym_mig_size,Round_4_Replicate_3,-83744.53,167503.06,174179.69,1157726.01,"7.0201,3.5701,3.2975,0.4905,0.8578,0.2326,0.1856"
sym_mig_twoepoch,Round_4_Replicate_40,-178216.88,356445.76,393305.45,535858.14,"5.8073,1.2766,0.8319,0.5444,0.1499,2.4384"
sym_mig_twoepoch,Round_4_Replicate_11,-178539.49,357090.98,421458.44,613559.36,"5.352,1.0262,0.8589,0.6935,0.0521,2.1405"
sym_mig_twoepoch,Round_4_Replicate_22,-179622.08,359256.16,396976.88,481967.44,"6.3466,1.368,0.9078,0.4994,0.102,3.0293"
sym_mig_twoepoch,Round_4_Replicate_5,-181229.34,362470.68,413793.35,569787.78,"5.3835,1.2088,0.422,0.6349,0.0273,2.401"
sym_mig_twoepoch,Round_4_Replicate_26,-182433.08,364878.16,413116.48,396728.81,"7.505,1.6682,0.7372,0.445,0.0607,4.1124"
